kind,address,name,confidence,evidence,notes
global,0x8009B45C,g_SDValue,confirmed,"FM debug string; gms.c xref; dotr.c symbol","Sound-driver root state pointer; exact successor-game symbol spelling."
function,0x800170C8,Duel_CalcCardStats,high,"gms.c calcStats; local body and callers","Clamps and writes the card's effective attack and defense statistics."
global,0x8009B2C4,gDebug_nLastSoundID,confirmed,ram_map.txt,"Debug menu's last played sound ID."
global,0x8009B2C8,gDebug_nSceneOrSoundID,confirmed,ram_map.txt,"Debug menu value used as a scene or sound ID."
global,0x8009B338,gDuel_wSelectedCardID,confirmed,"ram_map.txt; gms.c selectedCardId","Currently selected card ID."
global,0x8009B361,gDuel_bOpponentID,confirmed,"ram_map.txt; gms.c opponentId","Current opponent/duelist ID."
global,0x8009B364,gDuel_bTerrain,confirmed,"ram_map.txt; gms.c terrain","Current duel terrain type."
global,0x800EA002,gDuel_wPlayerLifePointDisplay,confirmed,ram_map.txt,"Displayed player life points."
global,0x800EA004,gDuel_wPlayerLifePoint,confirmed,ram_map.txt,"Authoritative player life points."
global,0x800EA022,gDuel_wOpponentLifePointDisplay,confirmed,ram_map.txt,"Displayed opponent life points."
global,0x800EA024,gDuel_wOpponentLifePoint,confirmed,ram_map.txt,"Authoritative opponent life points."
global,0x800EA118,gDuel_wFusionResultCardID,confirmed,ram_map.txt,"Card ID produced by the current fusion."
global,0x800FE6F8,gRand_dwSeed,confirmed,ram_map.txt,"Main PRNG seed."
global,0x80177F94,gDuel_awPlayerDeckShuffle,confirmed,ram_map.txt,"Player deck shuffle permutation."
global,0x80177FBC,gDuel_awOpponentDeckShuffle,confirmed,ram_map.txt,"Opponent deck shuffle permutation."
global,0x80177FE8,gDuel_awPlayerShuffledDeck,confirmed,ram_map.txt,"Shuffled player deck."
global,0x80178038,gDuel_awOpponentShuffledDeck,confirmed,ram_map.txt,"Shuffled opponent deck."
global,0x801781D8,gDuel_awOpponentDeckPool,confirmed,"ram_map.txt; gms.c cpuDeckPool","Opponent deck source pool."
global,0x8017878C,gDuel_awSaPowCardDrops,confirmed,"ram_map.txt; gms.c powDropPool","SA-POW card drop table."
global,0x80178D40,gDuel_awBcdCardDrops,confirmed,ram_map.txt,"BCD card drop table."
global,0x801792F4,gDuel_awSaTecCardDrops,confirmed,ram_map.txt,"SA-TEC card drop table."
